,index,Год,Неделя,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.,Население 15 и ст.,A(H1N1)pdm09_15 и ст._rel,A(H3N2)_15 и ст._rel,B_15 и ст._rel,A(H1N1)pdm09_0-14,A(H1N1)pdm09_0-14_rel,Население 0-14,A(H3N2)_0-14,A(H3N2)_0-14_rel,B_0-14,B_0-14_rel
,156,2013,1,0,0,0,4374156,0,0,0,0,0,579063,0,0,0,0
,157,2013,2,318,159,318,4374156,0.0726997391039551,0.0363498695519775,0.0726997391039551,385,2.35514633253894,579063,192,1.17607196446222,385,2.35514633253894
,158,2013,3,1465,1046,0,4374156,0.334921754048095,0.239131846235022,0,1628,9.50573144108278,579063,1163,6.79201733555278,0,0
,159,2013,4,2181,727,242,4374156,0.498610474797881,0.166203491599294,0.0553249586891734,2594,14.9336915730681,579063,865,4.98116619906413,288,1.65806257820182
,160,2013,5,4715,1275,687,4374156,1.07792223231179,0.291484803011141,0.157058870328356,5988,34.003562896229,579063,1620,9.1988783349212,873,4.95697933382207
,161,2013,6,7867,3442,1616,4374156,1.79851838846168,0.786894660364194,0.369442699345885,9749,54.9400172576359,579063,4265,24.0347364437388,2002,11.2830797602692
,162,2013,7,9580,2128,1561,4374156,2.19013679438959,0.486493851613888,0.356868845098346,11306,63.4039054766337,579063,2513,14.0924358438008,1843,10.3354954846142
,163,2013,8,13031,2057,1855,4374156,2.97908899453975,0.470262148857974,0.424081811439738,14710,82.4800429613985,579063,2322,13.0215963637233,2094,11.7406794062712
,164,2013,9,10382,1843,2998,4374156,2.37348645087189,0.421338425058457,0.685389364256785,12160,68.2043753380767,579063,2158,12.1021227954118,3511,19.692047196111
,165,2013,10,3775,889,1969,4374156,0.86302363244475,0.203239207746591,0.450143982061911,4610,25.7037641969835,579063,1085,6.04933619165448,2405,13.4102795395187
,166,2013,11,5141,2571,3683,4374156,1.17531244884727,0.587770532189524,0.841991003521594,5852,32.3362274965208,579063,2926,16.1681137482604,4192,23.1633624362364
,167,2013,12,1953,1953,3363,4374156,0.446486133553536,0.446486133553536,0.768834033354092,2289,12.7954840638346,579063,2290,12.7984864674491,3942,22.0337093741509
,168,2013,13,3173,1240,3862,4374156,0.725397082317137,0.28348325939907,0.88291318370904,3634,20.9959622841174,579063,1421,8.21134412009911,4424,25.5609365184506
,169,2013,14,286,1431,4437,4374156,0.0653840420872049,0.327148825967798,1.01436711447877,318,1.84741562789914,579063,1588,9.2287783299096,4924,28.6181486726752
,170,2013,15,3113,1373,4658,4374156,0.711680150410731,0.313889125124938,1.0648911470007,3805,21.8329836645611,579063,1680,9.63882601890425,5696,32.6851273989435
,171,2013,16,129,650,5066,4374156,0.0294914035987742,0.148600095652738,1.15816628396427,168,0.948534927324759,579063,840,4.75853868671981,6556,37.1210436928184
,172,2013,17,1291,388,4093,4374156,0.295142651519516,0.0887028263280962,0.935723371548706,1601,9.06755559122699,579063,480,2.71845599399706,5075,28.7491141138246
,173,2013,18,0,222,1773,4374156,0,0.0507526480537045,0.405335337834316,0,0,579063,344,2.00790828498682,2750,16.0589425311526
,174,2013,19,0,643,964,4374156,0,0.146999786930324,0.2203853726296,0,0,579063,878,5.14112013658447,1317,7.71139332958207
,175,2013,20,0,1303,1466,4374156,0,0.297886037900797,0.335150369579869,0,0,579063,1432,8.4837089275025,1609,9.53362294893795
,176,2013,21,0,165,494,4374156,0,0.0377215627426182,0.112936072696081,0,0,579063,175,1.04727133118065,527,3.15179486161512
,177,2013,22,0,0,0,4374156,0,,,0,0,579063,0,,0,
